,VariableDescription,Category,F1,F2,F3
x1,Depressed,DepressiveSymptoms,-0.544541374,0.161922801,0.276702367
x2,Anhedonia,DepressiveSymptoms,-0.519573342,0.324766817,0.081717308
x3,LowMotivation,DepressiveSymptoms,-0.566487729,0.368600818,0.038706172
x4,DecreasedAppetite,DepressiveSymptoms,-0.167420071,0.239814417,0.059282569
x5,IncreasedAppetite,DepressiveSymptoms,0.045307026,0.061630619,0.121345225
x6,Insomnia,DepressiveSymptoms,-0.072735077,0.287555679,0.088320413
x7,Hypersomnia,DepressiveSymptoms,-0.189103276,0.075486675,0.065643087
x8,LowEnergy,DepressiveSymptoms,-0.429071973,0.361886267,0.016380291
x9,Guilt,DepressiveSymptoms,-0.255636941,0.247756213,0.287266128
x10,Worthlessness,DepressiveSymptoms,-0.414985092,0.143970353,0.371597786
x11,ConcentrationDifficulty,DepressiveSymptoms,-0.246869303,0.599156505,0.027513549
x12,Indecision,DepressiveSymptoms,-0.251457447,0.530481504,0.085568151
x13,DeathWish,DepressiveSymptoms,-0.54886633,-0.591829998,0.825912028
x14,SuicidalIdeation,DepressiveSymptoms,-0.483824479,-0.671278252,0.844130237
x15,Anxity,Non-depressiveSymptoms,-0.021441043,0.761975531,0.014809206
x16,Worry,Non-depressiveSymptoms,-0.03623551,0.742277744,0.088508939
x17,Dread,Non-depressiveSymptoms,-0.16796464,0.444842557,0.167789702
x18,OnEdge,Non-depressiveSymptoms,-0.029615198,0.603775633,0.168287249
x19,Rumination,Non-depressiveSymptoms,-0.151003574,0.509924967,0.18921168
x20,Irritability,Non-depressiveSymptoms,0.051987901,0.176781088,0.771801339
x21,Anger,Non-depressiveSymptoms,0.081456555,0.102654862,0.858921795
x22,Argument,Non-depressiveSymptoms,0.121321258,0.085981304,0.750201418
x23,Headaches,Non-depressiveSymptoms,0.091438498,0.428262181,0.258312895
x24,BackPain,Non-depressiveSymptoms,0.348450059,0.722843244,0.203290862
x25,PhysicalPain,Non-depressiveSymptoms,0.296061496,0.716420103,0.182584242
x26,CopingWithStress,Coping,0.538110961,-0.178753915,0.123374271
x27,Resilience,Coping,0.567708356,-0.162708486,0.148875062
x28,KeepSelfFromDepression,Coping,0.600582783,-0.048883679,0.054601872
x29,OverwhelmedByStress_R,Coping,0.04428225,0.908217233,-0.227290129
x30,TroubleHandlingPressure_R,Coping,-0.006696296,0.861421506,-0.208472105
x31,AtEase,PositveMentalHealth,0.661275409,-0.117208986,0.032881033
x32,CareAboutLife,PositveMentalHealth,0.70552444,0.18584868,-0.07387537
x33,HaveFun,PositveMentalHealth,0.740921211,-0.017235911,0.031981379
x34,Value,PositveMentalHealth,0.823163065,0.162212215,-0.13515578
x35,PositveOutlook,PositveMentalHealth,0.884991543,0.125521777,-0.062064519
x36,Energetic,PositveMentalHealth,0.803411704,-0.080187845,0.168585086
x37,LookForward,PositveMentalHealth,0.851698,-0.032487926,0.083381719
x38,FocusWell,PositveMentalHealth,0.619534358,-0.339483142,0.163810403
x39,MadeDecisions,PositveMentalHealth,0.65633318,-0.253865438,0.124228161
x40,Confidence,PositveMentalHealth,0.807992314,-0.138314929,0.099239046
x41,FeelFresh,PositveMentalHealth,0.713158821,-0.166607053,0.115362623
x42,DesireToDoThings,PositveMentalHealth,0.783120171,-0.090620412,0.087929207
x43,FunctioningWellAtWork,Functioning,0.539788597,-0.335908679,0.314533876
x44,PaticipatingSocialActivities,Functioning,0.595937574,-0.084485933,0.045075911
x45,FulfilungResponsibilities,Functioning,0.616505869,-0.260548263,0.276072635
x46,Accomplishment,Functioning,0.68429201,-0.204434796,0.229430052
x47,RelationshipsGoingWell,Functioning,0.535845136,0.247272033,-0.409976975
x48,EmotionalCausedWorkDifficulties_R,Functioning,-0.137402578,0.415147355,-0.08694829
x49,NotDoMyWorkAsWellAsUsual_R,Functioning,-0.258304391,0.441671509,-0.195790097
x50,EmotionCausedRelationshipDifficulties_R,Functioning,-0.122804271,-0.002762055,0.65320469
x51,TroubleGettingAlongWithOthers_R,Functioning,-0.085930353,-0.068433674,0.731160374
x52,SocialWithdrawn_R,Functioning,-0.401333601,0.151442512,0.169397565
x53,SatisfiedWithLife,WellBeingLifeSatisfaction,0.8367302,0.108133918,-0.090744472
x54,EngagingInLife,WellBeingLifeSatisfaction,0.813216307,0.01453581,-0.023394892
x55,SatisfiedWIthRelationships,WellBeingLifeSatisfaction,0.634244252,0.306335958,-0.399534608
x56,FulfillingLife,WellBeingLifeSatisfaction,0.876586872,0.154256409,-0.122139176
x57,SatisfyingWork,WellBeingLifeSatisfaction,0.640306905,-0.118046148,0.120544012
x58,MentallyHealthy,WellBeingLifeSatisfaction,0.835736504,-0.088754155,-0.011616757
x59,InControlOfEmotions,WellBeingLifeSatisfaction,0.684424497,-0.142070432,-0.057606837
x60,Well-Being,WellBeingLifeSatisfaction,0.840798994,-0.057486187,-0.009744476